Name of DAO,Web Address,Category,Twitter,Discord,Blockchain,Contract Address
MonkeyBet Dao,https://casino.monkeybet.co/,Gnosis Safe,https://twitter.com/monkeybetdao,https://discord.gg/2MBUeGWSeR,Ethereum,0X1850B846FDB4D2EF026F54D520AA0322873F0CBD
Lido Finance,https://lido.fi/,Defi,https://twitter.com/lidofinance, https://discord.gg/vgdPfhZ,Ethereum,0xb8FFC3Cd6e7Cf5a098A1c92F48009765B24088Dc
,,Gnosis Safe,,,,
BitDAO,https://www.bitdao.io/,Defi,https://twitter.com/BitDAO_Official,https://discord.gg/bitdao,"Ethereum, Gnosis",0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5
,,Gnosis Safe,,,,
Rarible,https://rarible.com,Gnosis Safe,https://twitter.com/rarible,https://discord.gg/cdaFbV5,Ethereum,0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF
,,NFT,,,,
Yearn.Finance,https://yearn.finance/#/home,Defi,https://twitter.com/iearnfinance,https://discord.yearn.finance/,Ethereum,"0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e
"
,,Gnosis Safe,,,BSC,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e
,,,,,Fantom,0x29b0Da86e484E1C0029B56e817912d778aC0EC69
,,,,,xDai,0xbf65bfcb5da067446CeE6A706ba3Fe2fB1a9fdFd
,,,,,Heco, 0xb4f019beac758abbee2f906033aaa2f0f6dacb35
,,,,,Avalanche C Chain,0x9eAaC1B23d935365bD7b542Fe22cEEe2922f52dc
Sushi,https://sushi.com/,Defi,https://twitter.com/sushiswap,https://discord.gg/CD2YdZzb7Z,"Ethereum, polygon, avalanche",0x5ad6211CD3fdE39A9cECB5df6f380b8263d1e277
,,Gnosis Safe,,,,
Zerion,https://zerion.io/,Defi,https://twitter.com/zerion_io,https://zerion.io/discord,Ethereum,0xd2f373C832EbEeC803eb6A3555E1fe34aD2eF9F7
,,Gnosis Safe,,,,
Balancer,https://balancer.fi/,Defi,https://twitter.com/BalancerLabs,https://discord.balancer.fi/,Ethereum,0xba100000625a3754423978a60c9317c58a424e3d
,,Gnosis Safe,,,,
THX Network,https://thx.network/,Gnosis Safe,https://twitter.com/thxprotocol,https://discord.com/invite/TzbbSmkE7Y,Polygon and Ethereum,0xe632ea2eF2CFD8Fc4a2731C76F99078Aef6a4B31
