Category,Company,Website,Description,Social Links
Defi,PieDao,https://www.piedao.org/,Pie Dao is a community creating products for the automation of wealth creation.,https://twitter.com/PieDAO_DeFi?s=20
Infrastructure,Pocket Network,https://www.pokt.network/,It is a Web3 node infrastructure. A multichain relay protocol incentivizing RPC nodes to provide unlimited access to Dapps and Web3 for it’s users.,"https://twitter.com/POKTnetwork, https://bit.ly/POKTARCADEdscrd"
Defi,Pods,https://www.pods.finance/,"Ethereum based protocol simplifying hedging crypto assets. Options Specific AMM decentralized protocol.  ","https://twitter.com/podsfinance, https://discord.gg/Qf7utym"
Media,Publish0x,https://www.publish0x.com/login,"A content site where readers and writers can earn cryptocurrency for either action. ",https://twitter.com/publish0x
Service,Reverie,https://www.reverie.ooo/,"Reverie helps the growth of Daos by establishing scalable organizational structures, marketing support, and legal",https://twitter.com/hi_reverie
"Communications, Social",Rocket.Chat,https://rocket.chat/,Real-time private and secure chat platform.,https://twitter.com/RocketChat
Compensation,Roll,https://tryroll.com/,Roll Network allows the minting of social money. It can incentivize contributions or reward participation within your social community.,"https://twitter.com/tryrollhq, https://discord.gg/AkPnwu2"
"Communications, Service",Satellite,https://satellite.im/,"It is a serverless, multi platform chat program. You can send money, or files up to 4 GB.","https://twitter.com/satellite_im, https://discord.gg/satellite"
Contribution,ScribeDao,https://scribedao.com/,"Scribe dao creates summaries of crypto articles to save the reader time. It is a way to onboarding people to web3 content creation. ",https://twitter.com/scribeDAO
Accelerator,Seed Club,https://seedclub.xyz/,"Accelerator for the development of tokenized communities. ",https://twitter.com/seedclubhq
Treasury,Sequence,https://chain.com/sequence/,"Sequence is a balance management ledger-as-a-service. It combines the power of a token-based data model with the convenience of the cloud, making it simple to build, operate, and scale innovative products. A diverse set of companies, including mobile wallets, crypto asset exchanges, lending platforms, sharing economy apps, payment services, funding sites, asset managers, and many more, use Sequence as a system of record.","https://twitter.com/chain, https://discord.gg/ChainOfficial"
Security,Sherlock,https://www.sherlock.xyz/,Protocol on Ethereum providing defi users exploit protection using proprietary security analysis and protocol-level coverage.,https://twitter.com/sherlockdefi
Reputation,Sismo,https://www.sismo.io/,"Sismo issues ZK NFT badges to your ENS names. It can be used to access token gated communities, aggregating  a defi score, and for better governance.",https://twitter.com/Sismo_eth
Service,Sobol,https://sobol.io/,Organizational accountability tool for mapping your community and working relationships.,https://twitter.com/teamsobol?lang=en
Storage,Space,https://space.storage/,"It is an encrypted file storage and sharing platform. Space is open source and user controlled. ",https://www.twitter.com/spacestorage
"Governance, Social",Sputnik,https://www.sputnik.fund/#/,"Hub of Daos empowering and funding communities in the NEAR ecosystem. ",https://twitter.com/NEARProtocol
Contribution,Station,https://station.express/,A hub for creators to contribute to the development of on-chain infrastructure.,https://twitter.com/0xstation
Compensation,Super Fluid,https://www.superfluid.finance/home,"Superfluid provides users the ability to program cashflows. With Superfluid you can stream funds for payments, subscriptions, rewards, and more.","https://twitter.com/intent/follow?screen_name=Superfluid_HQ, https://discord.gg/XsK7nahanQ"
Governance,SuperDao,https://superdao.co/,"SuperDao makes it easy to create, manage, and grow your own Dao in their ecosystem. ",https://twitter.com/superdao_co
"Grants, Storage",Swarm,https://www.ethswarm.org/,"Decentralized storage and communication system. Peer to peer network of nodes. ",https://twitter.com/ethswarm
Data,Switchboard,https://switchboard.xyz/,"Switchboard is a decentralized, community ran oracle network on Solana. It can be used by anyone to publish on-chain data for smart contract devs to build on.",https://twitter.com/switchboardxyz
"Governance, Voting",Sybil,https://sybil.org/,Sybil is a governance tool for discovering delegates. Create and manage on-chain delegation and voting. Supports various Ethereum governance initiatives.,https://github.com/Uniswap/sybil-list
Incubator/Investments,The LAO,http://thelao.io/,The LAO is a group of Ethereum supporters funding Ethereum builders.,https://twitter.com/thelaoofficial
Marketing,The Shill Shop,https://shillshop.raidguild.org/,"A Dao offering marketing services. ",https://twitter.com/RGShillShop
Tokenization,Thx Network,https://thx.network/,"Thx Network’s tokenization API powered by the Ethereum blockchain and Polygon side-chain will allow users to embed a token onto any app or website. You can use it to reward loyal members, incentivize engagement, and more.",https://twitter.com/thxprotocol
Voting,TokeMak,https://www.tokemak.xyz/,Tokemak is a novel protocol designed to generate deployable liquidity.,"https://twitter.com/TokenReactor, https://t.co/Cg8QEAbrvl"
Governance,tokenlog,https://tokenlog.xyz/,Governance tool for creating token weighted backlogs. Prioritize fund,https://github.com/wslyvh/tokenlog
Governance,Tribeca Dao,https://tribeca.so/,"Governance protocols built for Solana. Create, manage, and interact with a Dao.","https://twitter.com/TribecaDAO, https://discord.gg/cDvtZt886p"
"Frameworks, Governance",Tribute Dao,https://tributedao.com/,Low cost modular Dao frameworks. Evolved tribute to the MolochDao frameworks.,https://discord.gg/tEfP68xnTd
Defi,UMA,https://umaproject.org/,Uma is an optimistic oracle securing markets with economic guarantees. Uma makes it possible for anyone to build decentralized financial products.,"https://twitter.com/umaprotocol?lang=en, https://discord.com/invite/jsb9XQJ"
Launcher,Upstream Collectives,https://upstreamapp.com/collectives,Upstream Collectives is a no-code Dao launcher.,https://twitter.com/joinupstream
Treasury,Utopia Labs,https://www.utopialabs.com/,"Utopia Labs is a collaborative payment and expense management system for Dao operations. ",https://twitter.com/utopialabs_
Service,"Verse Network ",https://www.stp.network/#/,"A layer 2 sidechain. They offer a suite of tools to bring more efficiency to a Dao’s decision making and operations. ",https://twitter.com/STP_Networks
"Compensation, Infrastructure",Wonderverse,https://www.wonderverse.xyz/,"Wonderverse is a task management tool for Daos to collaborate, organize, and pay contributors in their project metaverse.",https://discord.gg/vUnfjnZADH
Storage,WPSmart Contracts,https://wpsmartcontracts.com/,This company provides a way to manage smart contracts through Wordpress.,https://twitter.com/wpsmartcontract
"Communications, Protocol, Social",Xmtp,https://xmtp.com/,A social protocol to enable messaging between wallets.,https://twitter.com/xmtp_
